"ca","k","MAP","d","optwL","difference"
400,0.025,912.5,1,0.234505846979384,2.77555756156289e-16
400,0.05,912.5,1,0.231836756396074,1.94289029309402e-16
400,0.1,912.5,1,0.2292540257908,-2.77555756156289e-17
400,0.025,1825,1,0.23844028117921,9.32587340685131e-15
400,0.05,1825,1,0.237750873271629,9.93649607039515e-15
400,0.1,1825,1,0.236895329742578,-4.52415882534751e-15
400,0.025,3650,1,0.240762731954389,5.38458166943201e-15
400,0.05,3650,1,0.241999226687016,7.7715611723761e-16
400,0.1,3650,1,0.244025590297439,5.55111512312578e-16
400,0.025,912.5,2,0.194704101424355,3.02535774210355e-15
400,0.05,912.5,2,0.19254782955584,-2.02615701994091e-15
400,0.1,912.5,2,0.190657873014393,-6.93889390390723e-16
400,0.025,1825,2,0.197748242813094,7.66053886991358e-15
400,0.05,1825,2,0.196433710003912,6.93889390390723e-16
400,0.1,1825,2,0.194985016909661,-1.0547118733939e-15
400,0.025,3650,2,0.199891192410519,-7.49400541621981e-16
400,0.05,3650,2,0.200028455507086,4.9960036108132e-16
400,0.1,3650,2,0.200297991429801,-6.10622663543836e-15
400,0.025,912.5,3,0.174471722909877,5.57887069874141e-15
400,0.05,912.5,3,0.172734833078897,-5.55111512312578e-17
400,0.1,912.5,3,0.17125003539432,3.24740234702858e-15
400,0.025,1825,3,0.176851621698244,-4.08006961549745e-15
400,0.05,1825,3,0.175578639639359,-3.21964677141295e-15
400,0.1,1825,3,0.174262385348947,-2.74780198594726e-15
400,0.025,3650,3,0.178624367141351,6.17787697110295e-08
400,0.05,3650,3,0.178355803209913,2.85614573031223e-06
400,0.1,3650,3,0.177998572821294,3.10862446895044e-15
400,0.025,912.5,4,0.161482753536466,-8.3544282603043e-15
400,0.05,912.5,4,0.16001893577646,-5.82867087928207e-16
400,0.1,912.5,4,0.158779137931532,1.94289029309402e-16
400,0.025,1825,4,0.163448557085749,-0.000323249059943187
400,0.05,1825,4,0.162286635121152,-9.27036225562006e-15
400,0.1,1825,4,0.161122748622331,-3.05311331771918e-15
400,0.025,3650,4,0.164985191571929,0.00073345043415135
400,0.05,3650,4,0.164559646439061,0.000421519042060614
400,0.1,3650,4,0.164008644172479,2.01859639686885e-06
400,0.025,912.5,5,0.152144998417295,-1.9217187356424e-06
400,0.05,912.5,5,0.150866953438557,1.07414077632484e-14
400,0.1,912.5,5,0.149790712417022,-6.10622663543836e-16
400,0.025,1825,5,0.153871312210183,0.000672720117306097
400,0.05,1825,5,0.152775311364286,-0.000127602132225818
400,0.1,1825,5,0.151731547702998,5.55111512312578e-16
400,0.025,3650,5,0.155141397053997,-0.00114128568160679
400,0.05,3650,5,0.154717013043569,-0.000929998874992316
400,0.1,3650,5,0.15411653169439,-0.000428439311144085
400,0.025,912.5,6,0.144966759440377,-0.000253358802962789
400,0.05,912.5,6,0.143820335230114,-3.69981822956333e-14
400,0.1,912.5,6,0.142861398389179,-3.05311331771918e-16
400,0.025,1825,6,0.146536172358931,0.000677423141027034
400,0.05,1825,6,0.145494790484226,0.000342334147399925
400,0.1,1825,6,0.144532684053073,-1.71807013060743e-14
400,0.025,3650,6,0.147691758074548,-0.0014832193835552
400,0.05,3650,6,0.147236073669195,-0.00121336037571848
400,0.1,3650,6,0.146605517675089,0.000476018666747097
400,0.025,912.5,7,0.139190891935351,-0.000355248426018834
400,0.05,912.5,7,0.138147536071589,1.60982338570648e-15
400,0.1,912.5,7,0.137276074012382,2.14273043752655e-14
400,0.025,1825,7,0.140505552509143,-0.000748362876817232
400,0.05,1825,7,0.139658670680446,0.000381726620163531
400,0.1,1825,7,0.138755137549111,-3.73590047786365e-14
400,0.025,3650,7,0.141585154122696,-0.00130587362816156
400,0.05,3650,7,0.141123941602915,-0.000968031147038029
400,0.1,3650,7,0.140535748748031,-0.000478118883213918
400,0.025,912.5,8,0.13441024195719,-0.000512721240306352
400,0.05,912.5,8,0.133434153768311,-2.85423401619189e-06
400,0.1,912.5,8,0.132632274209949,8.85402862138562e-15
400,0.025,1825,8,0.135766691374407,0.000866794157196121
400,0.05,1825,8,0.134805767409109,-0.00062392169428574
400,0.1,1825,8,0.133965360766328,-4.4023831267781e-05
400,0.025,3650,8,0.136677293323239,-0.00154650048576677
400,0.05,3650,8,0.136244519830109,-0.00131779214184602
400,0.1,3650,8,0.135609666422904,-0.00076776142262458
