"ca","k","MAP","d","optwL","difference"
400,0.025,912.5,1,0.238405573706342,-6.10622663543836e-16
400,0.05,912.5,1,0.237061229892652,1.49880108324396e-15
400,0.1,912.5,1,0.235787494498413,-4.69069227904129e-15
400,0.025,1825,1,0.242195226594141,1.11022302462516e-15
400,0.05,1825,1,0.24348852730338,-8.32667268468867e-17
400,0.1,1825,1,0.245411918704978,-3.1641356201817e-15
400,0.025,3650,1,0.244111375379073,-7.7715611723761e-16
400,0.05,3650,1,0.246502581208852,-2.77555756156289e-17
400,0.1,3650,1,0.248602451431163,-1.80411241501588e-15
400,0.025,912.5,2,0.198509109970769,1.94289029309402e-16
400,0.05,912.5,2,0.196938835770785,6.38378239159465e-16
400,0.1,912.5,2,0.195600511492792,-3.88578058618805e-15
400,0.025,1825,2,0.202070497836372,8.32667268468867e-17
400,0.05,1825,2,0.202419152674311,7.82707232360735e-15
400,0.1,1825,2,0.203122498627398,-6.10622663543836e-16
400,0.025,3650,2,0.20433076351883,-5.55111512312578e-17
400,0.05,3650,2,0.206594509639539,-1.71529457304587e-14
400,0.1,3650,2,0.209873713521862,-1.38777878078145e-16
400,0.025,912.5,3,0.177708269716294,-4.9960036108132e-16
400,0.05,912.5,3,0.176266256900629,1.4432899320127e-15
400,0.1,912.5,3,0.175102137296044,3.60822483003176e-16
400,0.025,1825,3,0.180680881756509,1.47104550762833e-15
400,0.05,1825,3,0.180455382886543,0
400,0.1,1825,3,0.180329785486425,-5.27355936696949e-16
400,0.025,3650,3,0.182779954944439,-4.71844785465692e-16
400,0.05,3650,3,0.184318695087699,-8.04911692853238e-16
400,0.1,3650,3,0.186981748493304,8.60422844084496e-16
400,0.025,912.5,4,0.164259517287125,2.77555756156289e-17
400,0.05,912.5,4,0.162980616578611,5.55111512312578e-17
400,0.1,912.5,4,0.161966251788693,8.32667268468867e-17
400,0.025,1825,4,0.166746609582874,-1.55431223447522e-15
400,0.05,1825,4,0.166294141299875,1.0547118733939e-15
400,0.1,1825,4,0.165878491333915,-1.27675647831893e-15
400,0.025,3650,4,0.168590518952825,4.71844785465692e-15
400,0.05,3650,4,0.169551645837728,9.99200722162641e-16
400,0.1,3650,4,0.17120920105849,1.93456362040934e-14
400,0.025,912.5,5,0.154583479913818,8.32667268468867e-17
400,0.05,912.5,5,0.153434411289753,-4.80379677675336e-07
400,0.1,912.5,5,0.15253396505947,-4.35762537165374e-15
400,0.025,1825,5,0.156715740665117,5.82867087928207e-16
400,0.05,1825,5,0.156177189183955,-2.75057754350883e-14
400,0.1,1825,5,0.155667777827966,1.11022302462516e-16
400,0.025,3650,5,0.158332601605843,-1.03528297046296e-14
400,0.05,3650,5,0.158937691975861,-1.38459771931165e-06
400,0.1,3650,5,0.159952652153799,-1.35447209004269e-14
400,0.025,912.5,6,0.147146684721528,2.02615701994091e-15
400,0.05,912.5,6,0.146102764600433,0
400,0.1,912.5,6,0.145291027641072,-4.16333634234434e-16
400,0.025,1825,6,0.149020744357376,-1.66533453693773e-16
400,0.05,1825,6,0.148455044337207,-3.60822483003176e-16
400,0.1,1825,6,0.147915310664602,4.16333634234434e-15
400,0.025,3650,6,0.150456588183038,8.65973959207622e-15
400,0.05,3650,6,0.150843893413601,8.88178419700125e-16
400,0.1,3650,6,0.151480930875621,-2.42590347809823e-09
400,0.025,912.5,7,0.141175085979374,-1.38777878078145e-16
400,0.05,912.5,7,0.140214834511354,-4.16333634234434e-16
400,0.1,912.5,7,0.139471589063722,1.66533453693773e-16
400,0.025,1825,7,0.142852898533503,8.32667268468867e-17
400,0.05,1825,7,0.142283235656252,-1.0547118733939e-14
400,0.1,1825,7,0.141740718912864,-1.9151347174784e-15
400,0.025,3650,7,0.14414798770436,-2.07056594092592e-14
400,0.05,3650,7,0.144394970118158,3.98292510084275e-14
400,0.1,3650,7,0.144802013457557,1.44884104713583e-13
400,0.025,912.5,8,0.136224423908661,5.55111512312578e-16
400,0.05,912.5,8,0.13533260200268,0
400,0.1,912.5,8,0.134643667886782,6.49480469405717e-15
400,0.025,1825,8,0.137749701420306,2.78687625659968e-06
400,0.05,1825,8,0.137187297841213,6.0507154842071e-15
400,0.1,1825,8,0.136651631203936,2.77555756156289e-16
400,0.025,3650,8,0.138932252918678,-1.9876876833913e-06
400,0.05,3650,8,0.139085419304522,-6.48763532951069e-07
400,0.1,3650,8,0.139343930643674,-1.30784272300843e-13
400,0.025,912.5,9,0.132021263893563,-2.22044604925031e-16
400,0.05,912.5,9,0.131187450695828,-1.38777878078145e-16
400,0.1,912.5,9,0.130543424850373,-1.11022302462516e-16
400,0.025,1825,9,0.133425242670637,1.83186799063151e-15
400,0.05,1825,9,0.132875106872264,-1.38777878078145e-16
400,0.1,1825,9,0.132351518870806,-1.38777878078145e-16
400,0.025,3650,9,0.134516843429968,-2.73103286242415e-05
400,0.05,3650,9,0.134604865518559,2.33951746864136e-13
400,0.1,3650,9,0.134762012569088,1.94844140821715e-14
400,0.025,912.5,10,0.128388810834293,-3.44169137633799e-15
400,0.05,912.5,10,0.127599968257003,2.63677968348475e-15
400,0.1,912.5,10,0.126995725763138,3.25281659285803e-06
400,0.025,1825,10,0.129691826556274,4.9960036108132e-16
400,0.05,1825,10,0.12915412084452,-4.11892742135933e-14
400,0.1,1825,10,0.128643842108639,8.32667268468867e-17
400,0.025,3650,10,0.130710391353869,-0.000155529251893716
400,0.05,3650,10,0.130749185781996,-4.55246034049006e-05
400,0.1,3650,10,0.130834984862851,-6.23112672570869e-13
400,0.025,912.5,11,0.125198837473508,-8.57647286522933e-15
400,0.05,912.5,11,0.124451491049853,3.88578058618805e-16
400,0.1,912.5,11,0.123878281129898,-5.68989300120393e-16
400,0.025,1825,11,0.126419780522162,1.05720987519931e-13
400,0.05,1825,11,0.125895099508246,1.66533453693773e-16
400,0.1,1825,11,0.125398705991332,5.55111512312578e-17
400,0.025,3650,11,0.127375805065217,-0.000224785232731284
400,0.05,3650,11,0.127380641454012,-0.000141713203733407
400,0.1,3650,11,0.127412501004465,-2.75002243199651e-13
400,0.025,912.5,12,0.12236575279764,3.60822483003176e-16
400,0.05,912.5,12,0.121654051113793,3.7470027081099e-16
400,0.1,912.5,12,0.121107106771966,4.71844785465692e-16
400,0.025,1825,12,0.123516555709916,1.88285345809058e-06
400,0.05,1825,12,0.123004926536128,-1.36295464922553e-06
400,0.1,1825,12,0.122522424219567,3.05311331771918e-16
400,0.025,3650,12,0.124423018169407,-0.000299894030280828
400,0.05,3650,12,0.124401309188904,-0.000222741822456976
400,0.1,3650,12,0.124390021054452,-1.52433002316571e-05
400,0.025,912.5,13,0.119824160058282,-9.15933995315754e-16
400,0.05,912.5,13,0.119142761567102,1.13797860024079e-15
400,0.1,912.5,13,0.118620963989713,1.01307850997046e-15
400,0.025,1825,13,0.120914461813956,-3.29768678017373e-06
400,0.05,1825,13,0.120415897722537,-8.22952817003397e-15
400,0.1,1825,13,0.119945023598435,-1.36973765663129e-14
400,0.025,3650,13,0.121790694246022,0.000406660994416691
400,0.05,3650,13,0.121736693509846,0.000285335490253918
400,0.1,3650,13,0.121691686867015,-6.0808961085318e-05
400,0.025,912.5,14,0.117523761693941,1.49880108324396e-15
400,0.05,912.5,14,0.11686985634836,-5.31519273039294e-15
400,0.1,912.5,14,0.116369024708231,-1.49880108324396e-15
400,0.025,1825,14,0.118562179385648,-9.39736560066906e-06
400,0.05,1825,14,0.11807555726674,-4.16333634234434e-17
400,0.1,1825,14,0.117616017113488,8.04911692853238e-16
400,0.025,3650,14,0.119403317881518,-0.00046164184928485
400,0.05,3650,14,0.119326283765923,-0.000295058560468284
400,0.1,3650,14,0.11926027123539,-0.000107180143776614
400,0.025,912.5,15,0.115427972244815,1.19348975147204e-15
400,0.05,912.5,15,0.114799032620938,6.93889390390723e-17
400,0.1,912.5,15,0.114316826383525,1.11022302462516e-16
400,0.025,1825,15,0.116420536647334,6.61104408763713e-05
400,0.05,1825,15,0.115944305408092,-1.87362431125493e-10
400,0.1,1825,15,0.115497095406068,-2.63677968348475e-16
400,0.025,3650,15,0.117233794768186,0.000484231508379229
400,0.05,3650,15,0.117133837780626,-0.00029734304579708
400,0.1,3650,15,0.117052420871128,-0.000140960751628949
